Time (s),Min Depth (m),Throttle
22.658842086791992,0.0,0.0
22.726715564727783,0.0,0.0
22.792120695114136,0.0,0.0
22.859877586364746,0.0,0.0
22.925830841064453,0.0,0.0
22.99421262741089,0.0,0.0
23.058701753616333,0.0,0.0
23.12635898590088,0.0,0.0
23.19203233718872,0.0,0.0
23.25986957550049,0.0,0.0
23.327479362487793,0.0,0.0
23.39367938041687,0.0,0.0
23.460965156555176,0.0,0.0
23.526423692703247,0.0,0.0
23.592357397079468,0.0,0.0
23.660717487335205,0.0,0.0
23.725493907928467,0.0,0.0
23.79470181465149,0.0,0.0
23.858652591705322,0.0,0.0
23.926491737365723,0.0,0.0
23.992169618606567,0.0,0.0
24.059718132019043,0.0,0.0
24.125566244125366,0.0,0.0
24.19305682182312,0.0,0.0
24.25879955291748,0.0,0.0
24.326722145080566,0.0,0.0
24.3924298286438,0.0,0.0
24.46127986907959,0.0,0.0
24.526426076889038,0.0,0.0
24.5940945148468,0.0,0.0
24.65995693206787,0.0,0.0
24.726385593414307,0.0,0.0
24.792291164398193,0.0,0.0
24.859602689743042,0.0,0.0
24.926008701324463,1.8410001,0.06
24.993054628372192,0.0,0.0
25.060779094696045,0.0,0.0
25.126160621643066,0.0,0.0
25.191871166229248,0.0,0.0
25.259509563446045,0.0,0.0
25.326225996017456,0.0,0.0
25.394554138183594,0.0,0.0
25.461522340774536,0.0,0.0
25.526278972625732,0.0,0.0
25.59203553199768,0.0,0.0
25.662466049194336,0.0,0.0
25.725484371185303,0.0,0.0
25.793621063232422,0.0,0.0
25.85941219329834,0.0,0.0
25.926680088043213,0.0,0.0
25.992783784866333,0.0,0.0
26.06213927268982,0.0,0.0
26.126047134399414,0.0,0.0
26.193756818771362,0.0,0.0
26.258455753326416,0.0,0.0
26.326529502868652,0.0,0.0
26.39294457435608,0.0,0.0
26.464268445968628,0.0,0.0
26.525391578674316,0.0,0.0
26.593042373657227,0.0,0.0
26.658549070358276,0.0,0.0
26.727088928222656,0.0,0.0
26.792686939239502,0.0,0.0
26.859437704086304,0.0,0.0
26.925042152404785,0.0,0.0
26.99276828765869,0.0,0.0
27.059301376342773,0.0,0.0
27.125765085220337,0.0,0.0
27.190796852111816,0.0,0.0
27.25904679298401,0.0,0.0
27.32442593574524,0.0,0.0
27.39328360557556,0.0,0.0
27.45693039894104,0.0,0.0
27.526688814163208,0.0,0.0
27.59039044380188,0.0,0.0
27.659693717956543,0.0,0.0
27.724900484085083,0.0,0.0
27.791471004486084,0.0,0.0
27.857083797454834,0.0,0.0
27.924412965774536,0.0,0.0
27.991122484207153,0.0,0.0
28.057745933532715,0.0,0.0
28.1235773563385,0.0,0.0
28.19166874885559,0.0,0.0
28.258030891418457,0.0,0.0
28.326054573059082,0.0,0.0
28.391239404678345,0.0,0.0
28.458805799484253,0.0,0.0
28.524577856063843,0.0,0.0
28.592308282852173,0.0,0.0
28.65781569480896,0.0,0.0
28.72591519355774,0.0,0.0
28.791756868362427,0.0,0.0
28.85883903503418,0.0,0.0
28.924577236175537,0.0,0.0
28.993249654769897,0.0,0.0
29.057857751846313,0.0,0.0
29.12553572654724,0.0,0.0
29.191208362579346,0.0,0.0
29.258857250213623,0.0,0.0
29.325700759887695,0.0,0.0
29.393033742904663,0.0,0.0
29.457746744155884,0.0,0.0
29.525766134262085,0.0,0.0
29.59111762046814,0.0,0.0
29.658607482910156,0.0,0.0
29.724377393722534,0.0,0.0
29.794817209243774,0.0,0.0
29.85742163658142,0.0,0.0
29.924716234207153,0.0,0.0
29.991365432739258,0.0,0.0
30.058751583099365,0.0,0.0
30.124436140060425,0.0,0.0
30.192843198776245,0.0,0.0
30.258628845214844,0.0,0.0
30.327393531799316,0.0,0.0
30.39255380630493,0.0,0.0
30.45928931236267,0.0,0.0
30.52584958076477,0.0,0.0
30.593183517456055,0.0,0.0
30.657774686813354,0.0,0.0
30.725777626037598,0.0,0.0
30.79099416732788,0.0,0.0
30.858580827713013,0.0,0.0
30.92569851875305,0.0,0.0
30.99225091934204,0.0,0.0
31.05772352218628,0.0,0.0
31.12567687034607,1.8850001,0.06
31.192460298538208,0.0,0.0
31.258742094039917,0.0,0.0
31.326616287231445,1.7780001,0.06
31.395305156707764,0.0,0.0
31.458602905273438,0.0,0.0
31.525764226913452,0.0,0.0
31.592344999313354,0.0,0.0
31.658791542053223,0.0,0.0
31.724672555923462,0.0,0.0
31.79326105117798,0.0,0.0
31.857710123062134,0.0,0.0
31.926973342895508,0.0,0.0
31.991082906723022,0.0,0.0
32.05945706367493,0.0,0.0
32.12413167953491,0.0,0.0
32.19228553771973,0.0,0.0
32.25759816169739,0.0,0.0
32.325273752212524,0.0,0.0
